Timestamp,Defect,Confidence
2024-08-02 00:23:09,PittedSurface,0.7147701
2024-08-02 00:23:09,Scratches,0.89724594
2024-08-02 00:23:09,Patches,0.92808604
2024-08-02 00:23:10,Patches,0.99609995
2024-08-02 00:23:10,Patches,0.99775606
2024-08-02 00:23:10,Patches,0.9980368
2024-08-02 00:23:10,Patches,0.9999006
2024-08-02 00:23:10,Patches,1.0
2024-08-02 00:23:10,Patches,1.0
2024-08-02 00:23:10,Patches,1.0
2024-08-02 00:23:11,Patches,1.0
2024-08-02 00:23:11,Patches,1.0
2024-08-02 00:23:11,Patches,1.0
2024-08-02 00:23:11,Patches,1.0
2024-08-02 00:23:11,Patches,1.0
2024-08-02 00:23:11,Patches,1.0
2024-08-02 00:23:12,Patches,1.0
2024-08-02 00:23:12,Patches,1.0
2024-08-02 00:23:12,Patches,1.0
2024-08-02 00:23:12,Patches,1.0
2024-08-02 00:23:12,Patches,1.0
2024-08-02 00:23:12,Patches,1.0
2024-08-02 00:23:13,Patches,1.0
2024-08-02 00:23:13,Patches,1.0
2024-08-02 00:23:13,Patches,1.0
2024-08-02 00:23:13,Patches,1.0
2024-08-02 00:23:13,Patches,1.0
2024-08-02 00:23:13,Patches,1.0
2024-08-02 00:23:14,PittedSurface,0.71567345
2024-08-02 00:23:14,Scratches,0.89058226
2024-08-02 00:23:14,Patches,0.93336034
2024-08-02 00:23:14,Patches,0.99607205
2024-08-02 00:23:14,Patches,0.9963658
2024-08-02 00:23:15,Patches,0.99788505
2024-08-02 00:23:15,Patches,0.9998135
2024-08-02 00:23:15,Patches,1.0
2024-08-02 00:23:15,Patches,1.0
2024-08-02 00:23:15,Patches,1.0
2024-08-02 00:23:15,Patches,1.0
2024-08-02 00:23:16,Patches,1.0
2024-08-02 00:23:16,Patches,1.0
2024-08-02 00:23:16,Patches,1.0
2024-08-02 00:23:16,Patches,1.0
2024-08-02 00:23:16,Patches,1.0
2024-08-02 00:23:16,Patches,1.0
2024-08-02 00:23:17,Patches,1.0
2024-08-02 00:23:17,Patches,1.0
2024-08-02 00:23:17,Patches,1.0
2024-08-02 00:23:17,Patches,1.0
2024-08-02 00:23:17,Patches,1.0
2024-08-02 00:23:18,Patches,1.0
2024-08-02 00:23:18,Patches,1.0
2024-08-02 00:23:18,Patches,1.0
2024-08-02 00:23:18,Patches,1.0
2024-08-02 00:23:18,Patches,1.0
2024-08-02 00:23:18,Patches,1.0
